,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Family Support Specialist,"Haverhill, MA",Apr 24,https://boston.craigslist.org/nos/npo/d/haverhill-family-support-specialist/7113421699.html,"
compensation: 18.00 an hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity to be part of NFI’s new DMH Family Support Services contract in the Northeast

NFI is seeking a Family Support Specialist to provide a range of Family Support Services to families with youth diagnosed with significant mental health concerns in the Lawrence, MA area.

The Family Support Specialist will provide hope, information, advocacy, group, and one-to-one support to parents of children with SED, and assist parents in the DMH Assessment process.

Hourly rate: $18.00

Job Responsibilities:

-Assist DMH in partnering with families to support engagement in services, understand roles and responsibilities in treatment of their children, articulate preferences and concerns, and identify supports that will strengthen their ability to parent their child with SED.
-Share resources with Parent Partnership team, and provide information about resources to parents of children and youth who are involved in DMH via home-visits, phone calls, printed materials, and training.
-Travel to and provide services to the parents/caregivers as related to the child's needs in their home, or other community setting such as hospital or school.
-Assist parents by helping them improve their ability to advocate or work with other professional helping systems.
Organize and facilitate Parent Support Groups to parents of children with mental health issues.
-Develop community provider relationships and implement outreach strategies to build common ground, supporting families, and encouraging parent/caregiver attendance at support groups.
-Provide training/consultation as indicated for parents and community entities.

Job Requirements:

-Lived experience as a parent/guardian/caregiver of a child with serious emotional/behavioral concerns that is currently, or has in the past received mental health or related services.
-Knowledge of behavioral health system and services, DMH and DCF resources, special education law and services, and other social services resources such as DDS, CBHI, Mass Rehabilitation, and/or 688 process and how to access them is also essential to this role.
-Position also requires a current/valid drivers license and willingness to use personal automobile to travel to multiple locations as required by position.
-Bilingual/bi-cultural candidates strongly encouraged to apply.

All interested candidates please apply at:
https://recruiting.ultipro.com/NOR1043NAFI/JobBoard/331fa188-0c5e-433a-b685-1bd95da427de/Opportunity/OpportunityDetail?opportunityId=11a9dce8-bee7-4517-b5de-41c6596f9cfd "
2,Overnight Residential Counselor,"Wilmington, MA",Apr 24,https://boston.craigslist.org/nos/npo/d/wilmington-overnight-residential/7113356375.html,"
compensation: $15.00 an hour

employment type: full-time

non-profit organization

","

QR Code Link to This Post


NFI Massachusetts Inc., a non-profit human services agency, is currently seeking an Overnight Youth Counselor for programs located in Lowell, Haverhill, and Wilmington, MA.

Youth referred to these programs are in need of temporary out-of-home placement to address a range of emotional and behavioral issues. The programs offer 24 hour staffing that provides support and supervision. Comprehensive clinical services include treatment planning, life skills training, individual/group/family therapy and access to social and recreational resources in the community.

We are seeking dedicated and qualified candidates with strong leadership skills to provide direct care to youth served within the program. The goal is to provide these youth support, mentoring, guidance and to demonstrate positive role modeling so they may elect healthier choices to and learn new skills to use upon their discharge from the program.

Hourly rate: $15.00

Job Requirements:

Associate's or Bachelor's degree in psychology, sociology or other related field of study preferred.
Experience working with a similar population.
Valid driver's license and a reliable vehicle is a must.

Please fill out a full application here at:
https://recruiting.ultipro.com/NOR1043NAFI/JobBoard/331fa188-0c5e-433a-b685-1bd95da427de/Opportunity/OpportunityDetail?opportunityId=c6c7c6f6-9a54-450d-b8d4-7f855f864acc
"
3,Shelter Staff,Boston,Apr 24,https://boston.craigslist.org/gbs/npo/d/charlestown-shelter-staff/7113272997.html,"
compensation: commensurate with experience

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Reports to: V.P. of Programs

Primary Responsibilities: Direct care and primary service delivery to the guests in the shelter including admissions, triage, bed assignments, meal coordination, hygiene assessments, and transportation coordination in the event of reached capacity.  Work as a team member to provide shelter, meals and transportation to the homeless population in a timely and efficient manner.

Duties:

1.	Shift set-up and preparation responsibilities including checking resources, rosters, bed sheets, cot set-up, towels, gloves, universal precaution supplies, meal/ pastry case stocked.
2.	Facilitate admission of guests, documenting name, date of birth, social security number whenever possible.
3.	Complete safety checks through each floor of the building with flashlight to provide oversight and care to any needs guests may have through the night. 
4.	Greet, direct and refer guests from the points of engagement at the time of admission or at a point of interaction.
Including random searches of guest's belongings and garments for contraband, as well as, redirecting disputes, conflict resolution and maintaining a safe and secure environment for all staff and guests. 
5.	Assist guests with personal hygiene needs on an as needed basis.
6.	Encourage optimal communication via verbal, written and voice mail forums with all team members and the 
Vice President of Programs.
7.	Employ the least restrictive means of intervention in all shelter interventions with guests in order to provide a clear and welcoming environment for the guests we serve.
8.	Utilize available case management staff to assist with case management needs of guests on an as needed basis.
9.	Provide assistance to Health Care For The Homeless staff in addressing medical needs of guests.    "
4,Autism Spectrum Disorder (ASD) Specialist,Newburyport,Apr 24,https://boston.craigslist.org/nos/npo/d/newburyport-autism-spectrum-disorder/7113174532.html,"
compensation: DOE

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Job Description

Our Turning 22 residential program in Merrimack Valley provides supports, instruction/training, and program implementation to young adult women with intellectual/developmental disabilities, and autism. 

The Opportunity

• Supports individual’s daily living activities, including hygiene, grooming, dressing, as well as household chores, 
  meal prep./ clean up, medication administration, doctor’s appointments, community activities, communication 
  log documentation, shifts notes, incident reports, restraint forms, and MAP documentation 
• Enters and updates behavioral data for clinical and academic goals in program records and communication logs.
• Implements all procedures written in each individual’s ISP and/or teaching plan
• Uses Applied Behavior Analysis (ABA) to encourage and maintain positive behavior changes 

Necessary Skills and Experience

• BS/BA (or equivalent education and experience) in Psychology, Special Needs or related major
• Prior Direct Support residential experience, or closely related experience working with individuals with autistic 
  spectrum disorders using ABA is required
• Client instruction experience must be part of the required work experience
• A thorough working knowledge of  behavior plans, including the ability to recognize and act on behavioral cues
• Ability to demonstrate experience by providing “close” supervision for individuals in home and/or in community 
   settings with individuals having significant behavioral needs

This position will require attendance in many job related trainings. All candidates must be able to attend these training and bi-weekly team meetings and monthly staff meetings, including program and organizational trainings.

Apply online at:  www.turningpointinc.org
"
5,DIRECT SUPPORT WORKERS,Somerville,Apr 24,https://boston.craigslist.org/gbs/npo/d/somerville-direct-support-workers/7113157719.html,"
compensation: Up to 15.55

employment type: employee's choice

","

QR Code Link to This Post


***ATTENTION LAID OFF OR FURLOUGHED EMPLOYEES***

LOOKING FOR FULL OR PART TIME FLEXIBLE HOURS THAT ARE TEMPORARY (COULD LEAD
TO PERM)

WORK WITH ADULTS WITH DEVELOPMENTAL AND INTELLECTUAL DISABILITIES 

Provides support services to and ensures the safety of individuals with developmental disabilities within their home and community, while upholding the Agency's mission and philosophy.

Essential Duties:

1. Treats individuals with respect and upholds their human rights.
2. Encourages individuals to be as independent as possible.
3. Advocates for individual(s).
4. Communicates with individuals to teach activities of daily living. This includes but not limited to: social skills, vocational skills, personal routines, financial management.
5. Communicates verbally and in writing with individuals’ involved family, friends and other support staff.
6. Accompanies individuals to events within the community by utilizing Agency vehicle or personal vehicle, this includes but is not limited to: medical appointments, shopping, social events, classes, religious activities.
7. Assists individuals in the maintenance of the home or work site, by frequently moving and positioning oneself to: sweep, mop, vacuum, scrub, dust, wash dishes, empty trash, wash laundry, etc.
8. Writes accurate reports and log notes detailing shift activity.
9. Frequently lift and/or transfer/move individuals in and out of wheelchairs, vehicles, up from and down to a mat etc.
10. Consistently moves to assist individuals with personal routine and ADLs (toileting, feeding, dressing, etc.).
11. Work with individuals in the preparation of daily meals.
12. Monitors and physically assists individuals as they arrive or depart from the home or work site.
13. Remains awake during entire shift unless approved by a manager.
14. Staffs residence until next shift arrives.
15. Accurately administers and completes written documentation of the administration of medication.
16. Accurately completes in writing medical-related paperwork including, but not limited to forms, monthly med charts.
17. Ensures safety of all program participants through the implementation of outlined emergency procedures. Accurately updates and maintains Emergency Fact Sheets.
18. Monitor the health and physical/mental well-being of the individual. Reports any concerns immediately to supervisor.

MUST PASS CORI, DRIVING BACKGROUND AND FINGERPRINTING    "
6,Full-Time Residential Counselor (Evenings),"Waltham, MA",Apr 24,https://boston.craigslist.org/bmw/npo/d/waltham-full-time-residential-counselor/7113129639.html,"
compensation: Competitive, depends on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Home for Little Wanderers, Waltham House is looking for Residential Counselors on a full-time basis to make a difference in the lives of youth who have experienced trauma and/or who have significant emotional and behavioral challenges. Join a dynamic team of professionals implementing our trauma informed care model.

Waltham House is a group home program designed to provide a safe and supportive living environment for up to 12 gay, lesbian, bisexual and transgender (GLBT) youth ages 14-18. The Home offers extensive training and support to all new staff and many opportunities for career and professional development.

How You Will Be Making a Difference

Join a dynamic team of professionals implementing our trauma informed care model.
Support youth in developing the skills they need to successfully transition home to families.
Teach age appropriate life skills, coping skills, and social skills through modeling, counseling, and other techniques.
Participate in groups and activities designed to enhance youth growth and development. Participate in both on-site and off-site recreational/educational activities.
Maintain a safe and supportive environment.

Qualifications

1 year prior experience working with youth
HS diploma or equivalency, Bachelor's degree preferred
A passion for making a positive impact on the lives of kids

What The Home Can Offer You

In addition to the chance to make a lasting impact on the lives of the youth of Massachusetts, The Home for Little Wanderers offers competitive salaries and a comprehensive benefits package including:

Extensive training to new staff
Tuition Reimbursement
Health and Dental Insurance
403(b) Retirement Plan with employer match
Long-term Disability and Short-term Disability Insurance
Life Insurance
Generous Paid Time Off
Professional Development opportunities



TO APPLY PLEASE CLICK HERE"
7,Residential Counselor (Full-Time - Days),"Walpole, MA",Apr 24,https://boston.craigslist.org/sob/npo/d/walpole-residential-counselor-full-time/7113128989.html,"
compensation: Competitive, depends on experience

employment type: full-time

","

QR Code Link to This Post


The Home in Walpole, a vocationally focused program, is looking for Full-Time Residential Counselors to make a difference in the lives of youth who have experienced trauma and/or who have significant emotional and behavioral challenges.

How You Will Be Making a Difference

Join a dynamic team of professionals implementing our trauma informed care model.
Support youth in developing the skills they need to successfully transition home to families.
Teach age appropriate life skills, coping skills, and social skills through modeling, counseling, and other techniques.
Participate in groups and activities designed to enhance youth growth and development.
Participate in both on-site and off-site recreational/educational activities.
Maintain a safe and supportive environment.

Qualifications 

1 year or more prior experience working with youth.
High school diploma or equivalency (Bachelor's degree preferred).
A passion for making a positive impact on the lives of kids.

What The Home Can Offer You

In addition to the chance to make a lasting impact on the lives of the youth of Massachusetts, The Home for Little Wanderers offers competitive salaries and a comprehensive benefits package including:

Extensive training to new staff
Tuition Reimbursement
Health and Dental Insurance
403(b) Retirement Plan with employer match
Long-term Disability and Short-term Disability Insurance
Life Insurance
Generous Paid Time Off
Professional Development opportunities



TO APPLY PLEASE CLICK HERE"
8,Residential Counselor (4 Evenings per Week),"Walpole, MA",Apr 24,https://boston.craigslist.org/sob/npo/d/walpole-residential-counselor-4/7113126529.html,"
compensation: Competitive, depends on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Home in Walpole, a vocationally focused program, is looking for Evening Residential Counselors to make a difference in the lives of youth who have experienced trauma and/or who have significant emotional and behavioral challenges.

How You Will Be Making a Difference

Join a dynamic team of professionals implementing our trauma informed care model.
Support youth in developing the skills they need to successfully transition home to families.
Teach age appropriate life skills, coping skills, and social skills through modeling, counseling, and other techniques.
Participate in groups and activities designed to enhance youth growth and development.
Participate in both on-site and off-site recreational/educational activities.
Maintain a safe and supportive environment.

Qualifications 

1 year or more prior experience working with youth.
High school diploma or equivalency (Bachelor's degree preferred).
A passion for making a positive impact on the lives of kids.

What The Home Can Offer You

In addition to the chance to make a lasting impact on the lives of the youth of Massachusetts, The Home for Little Wanderers offers competitive salaries and a comprehensive benefits package including:

Extensive training to new staff
Tuition Reimbursement
Health and Dental Insurance
403(b) Retirement Plan with employer match
Long-term Disability and Short-term Disability Insurance
Life Insurance
Generous Paid Time Off
Professional Development opportunities



TO APPLY PLEASE CLICK HERE"
9,Residential Counselor - Relief/Per-Diem,"Walpole, MA",Apr 24,https://boston.craigslist.org/sob/npo/d/walpole-residential-counselor-relief/7113124782.html,"
compensation: $15/hr

employment type: part-time

non-profit organization

","

QR Code Link to This Post


The Home in Walpole, a vocationally focused program, is looking for Relief/Per-Diem Residential Counselors to make a difference in the lives of youth who have experienced trauma and/or who have significant emotional and behavioral challenges.

How You Will Be Making a Difference

Join a dynamic team of professionals implementing our trauma informed care model.
Support youth in developing the skills they need to successfully transition home to families.
Teach age appropriate life skills, coping skills, and social skills through modeling, counseling, and other techniques.
Participate in groups and activities designed to enhance youth growth and development.
Participate in both on-site and off-site recreational/educational activities.
Maintain a safe and supportive environment.
The Home offers extensive training and support to all new staff and many opportunities for career and professional development.

Qualifications

Prior experience working with youth
HS diploma or equivalency, Bachelor's degree preferred
A passion for making a positive impact on the lives of youth



TO APPLY PLEASE CLICK HERE"
10,Part-Time Floating Nutrition Assistant,"Waltham, MA",Apr 23,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7112865062.html,"
compensation: $15.00/hour (20 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $15.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1391767-143011.html "
